Aux out [V]	Aux in [V]	PDH out [a.u.]
2.7829E-3	1.0383E+0	-6.3800E+2
3.8418E-3	1.0405E+0	-2.9800E+2
4.7830E-3	1.0385E+0	-5.6600E+2
5.7243E-3	1.0371E+0	-6.0600E+2
6.6655E-3	1.0405E+0	-3.2500E+2
7.6068E-3	1.0383E+0	-4.4700E+2
8.6657E-3	1.0407E+0	-1.6700E+2
9.6069E-3	1.0388E+0	-7.8800E+2
1.0548E-2	1.0400E+0	-3.4600E+2
1.1489E-2	1.0378E+0	-4.3900E+2
1.2431E-2	1.0395E+0	-6.1700E+2
1.3490E-2	1.0395E+0	2.3800E+2
1.4431E-2	1.0400E+0	-2.4800E+2
1.5490E-2	1.0383E+0	-5.6500E+2
1.6431E-2	1.0378E+0	-6.5300E+2
1.7372E-2	1.0383E+0	-4.3500E+2
1.8431E-2	1.0400E+0	-5.6100E+2
1.9372E-2	1.0378E+0	-5.5200E+2
2.0314E-2	1.0380E+0	-4.0200E+2
2.1255E-2	1.0375E+0	-4.6400E+2
2.2196E-2	1.0383E+0	-1.0410E+3
2.3137E-2	1.0371E+0	-2.3000E+1
2.4196E-2	1.0388E+0	-4.5100E+2
2.5137E-2	1.0385E+0	-7.4800E+2
2.6079E-2	1.0373E+0	-7.9500E+2
2.7020E-2	1.0383E+0	-7.9000E+1
2.7961E-2	1.0361E+0	-7.2800E+2
2.9020E-2	1.0361E+0	-5.8400E+2
2.9961E-2	1.0380E+0	-7.0100E+2
3.0903E-2	1.0383E+0	-4.2500E+2
3.1962E-2	1.0375E+0	-9.2400E+2
3.2903E-2	1.0375E+0	-4.6700E+2
3.3962E-2	1.0378E+0	-6.2100E+2
3.4903E-2	1.0373E+0	-6.7300E+2
